#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Oryza sativa Japonica Group	39947	PRJNA12269	12269	Plants	Land Plants	382.778	43.7135	GCA_000005425.2	12	2	1	-	15	30534	28555	2005/02/02	2012/08/09	Chromosome	National Institute of Agrobiological Sciences, Japan	-
Oryza sativa Indica Group	39946	PRJNA361	361	Plants	Land Plants	426.337	43.1588	GCA_000004655.2	12	-	-	AAAA02	10627	39285	37358	2002/04/04	2008/12/17	Chromosome	Beijing Institute of Genomics, Chinese Academy of Sciences	SAMN02953581
Oryza sativa Japonica Group	39947	PRJNA13139	13139	Plants	Land Plants	391.148	43.2147	GCA_000149285.1	12	-	-	AACV01	7777	37032	35394	2004/10/21	2009/02/05	Chromosome	Beijing Genomics Institute	SAMN02953597
Oryza sativa Japonica Group	39947	PRJDA39809	39809	Plants	Land Plants	382.151	43.0871	GCA_000164945.1	12	-	-	BABO01	12	-	-	2010/04/01	2010/04/01	Chromosome	QTL Genomics Research Center, National Institute of Agrobiological Sciences	-
Oryza sativa Japonica Group	39947	PRJDA67163	67163	Plants	Land Plants	382.627	43.3738	GCA_000321445.1	12	-	-	BACJ01	12	-	-	2011/12/27	2011/12/27	Chromosome	Iwate Biotechnology Research Center	-
Triticum aestivum	4565	PRJEA41525	41525	Plants	Land Plants	1.26608	44.8	GCA_000210335.1	1	-	-	-	1	45	21	2010/07/15	2010/08/03	Chromosome with gaps	International Wheat Genome Sequencing Consortium	-
Triticum aestivum	4565	PRJNA61773	61773	Plants	Land Plants	159.087	43.6	GCA_000188135.1	-	-	-	AEOM01	-	-	-	2011/02/04	2011/02/04	Contig	International Wheat Genome Sequencing Consortium	SAMN02981295
Triticum aestivum	4565	PRJEB217	171500	Plants	Land Plants	3800.33	47.7	GCA_000334095.1	-	-	-	CALP01	-	-	-	2012/12/23	2012/12/23	Contig	MIPS/HMGU	-
Triticum aestivum	4565	PRJEB217	171500	Plants	Land Plants	437.106	48.2	GCA_000334135.1	-	-	-	CALO01	-	-	-	2013/01/09	2013/01/09	Contig	MIPS/HMGU	-
Zea mays	4577	PRJNA10769	10769	Plants	Land Plants	2067.62	46.8286	GCA_000005005.5	20	2	-	-	523	104329	116015	2010/01/29	2014/08/02	Chromosome	maizesequence	-
Zea mays	4577	PRJNA51041	51041	Plants	Land Plants	177.051	45.9	GCA_000223545.1	-	-	-	AECO01	-	-	-	2011/08/16	2011/08/16	Contig	Laboratorio Nacional de Genómica para la Biodiversidad (LANGEBIO) CINVESTAV Irapuato	SAMN02981271
Zea mays	4577	PRJNA10769	10769	Plants	Land Plants	1.33507	45.4	GCA_000275765.1	-	-	-	AHID01	1844	-	-	2012/07/03	2012/07/03	Contig	maizesequence	SAMN02981394
Schizosaccharomyces pombe	4896	PRJNA13836	13836	Fungi	Ascomycetes	12.5913	36.0381	GCA_000002945.2	3	1	-	-	4	6991	5133	2002/02/28	2013/04/30	Chromosome with gaps	S. pombe European Sequencing Consortium (EUPOM)	-
Saccharomyces cerevisiae S288c	559292	PRJNA43747	43747	Fungi	Ascomycetes	12.1571	38.1556	GCA_000146045.2	16	1	-	-	17	6349	5906	1999/11/08	2014/07/29	Gapless Chromosome	Saccharomyces Genome Database	-
Saccharomyces cerevisiae Sigma1278b	658763	PRJNA39317	39317	Fungi	Ascomycetes	11.9459	38.3049	GCA_000151485.1	16	-	-	ACVY01	16	-	-	2010/04/29	2010/05/14	Chromosome	Broad Institute	SAMN00002885
Saccharomyces cerevisiae AWRI796	764097	PRJNA48559	48559	Fungi	Ascomycetes	11.7417	38.2042	GCA_000190195.1	16	-	-	ADVS01	89	5153	3681	2011/02/11	2011/02/23	Chromosome	The Australian Wine Research Institute	SAMN02981265
Saccharomyces cerevisiae Vin13	764099	PRJNA48563	48563	Fungi	Ascomycetes	11.6675	38.23	GCA_000190215.1	16	-	-	ADXC01	107	5122	3813	2011/02/11	2011/02/25	Chromosome	The Australian Wine Research Institute	SAMN02981268
Saccharomyces cerevisiae VL3	764100	PRJNA48565	48565	Fungi	Ascomycetes	11.6622	38.2337	GCA_000190235.1	16	-	-	AEJS01	84	5128	3872	2011/02/11	2011/02/25	Chromosome	The Australian Wine Research Institute	SAMN02981289
Saccharomyces cerevisiae FostersB	764102	PRJNA48569	48569	Fungi	Ascomycetes	11.5146	38.22	GCA_000190255.1	16	-	-	AEHH01	90	5068	3581	2011/02/11	2011/02/25	Chromosome	The Australian Wine Research Institute	SAMN02981281
Saccharomyces cerevisiae CEN.PK113-7D	889517	PRJNA52955	52955	Fungi	Ascomycetes	11.9991	38.7028	GCA_000269885.1	16	-	-	AEHG01	70	5444	5444	2012/06/18	2012/06/19	Chromosome	Chalmers University of Technology	SAMN00828752
Saccharomyces cerevisiae W303	580240	PRJNA83445	83445	Fungi	Ascomycetes	12.1532	38.3352	GCA_000292815.1	16	1	1	ALAV01	18	-	-	2012/08/24	2013/02/28	Chromosome	Max Planck Institute Molecular Genetics	SAMN02981436
Saccharomyces cerevisiae EC1118	643680	PRJEA37863	37863	Fungi	Ascomycetes	11.6595	38.3	GCA_000218975.1	-	-	-	-	31	7248	6017	-	-	Scaffold	Genoscope	-
Saccharomyces cerevisiae Kyokai no. 7	721032	PRJDA45827	45827	Fungi	Ascomycetes	12.3892	38.5	GCA_000260735.1	-	-	-	BABQ01	522	6592	5795	2011/09/22	2013/08/01	Scaffold	National Research Institute of Brewing	-
Saccharomyces cerevisiae Lalvin QA23	764098	PRJNA48561	48561	Fungi	Ascomycetes	11.8041	38.3	GCA_000325965.1	-	-	-	ADVV01	185	5339	4022	2011/02/11	2011/02/17	Scaffold	The Australian Wine Research Institute	SAMN02981266
Saccharomyces cerevisiae RM11-1a	285006	PRJNA13674	13674	Fungi	Ascomycetes	11.737	38.3	GCA_000149365.1	-	-	-	AAEG01	17	5960	5377	2005/03/16	2014/08/06	Scaffold	Broad Institute	SAMN02953602
Saccharomyces cerevisiae Y10	462210	PRJNA60201	60201	Fungi	Ascomycetes	14.2673	38.2	GCA_000192375.1	-	-	-	AEWK01	1157	-	-	2011/03/11	2011/03/18	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN02981307
Saccharomyces cerevisiae CBS 7960	929587	PRJNA60391	60391	Fungi	Ascomycetes	12.9079	39.3	GCA_000192455.1	-	-	-	AEWL01	1402	-	-	2011/03/11	2011/03/18	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN02981308
Saccharomyces cerevisiae CLIB324	929629	PRJNA60415	60415	Fungi	Ascomycetes	13.4362	38.2	GCA_000192495.1	-	-	-	AEWM01	998	-	-	2011/03/11	2011/03/18	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN02981309
Saccharomyces cerevisiae YJM269	929586	PRJNA60389	60389	Fungi	Ascomycetes	12.4093	38.2	GCA_000192515.1	-	-	-	AEWN01	451	-	-	2011/03/11	2011/03/18	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN02981310
Saccharomyces cerevisiae FL100	947036	PRJNA60147	60147	Fungi	Ascomycetes	12.4154	38.2	GCA_000192535.1	-	-	-	AEWO01	926	-	-	2011/03/11	2011/03/18	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN02981311
Saccharomyces cerevisiae CLIB215	464025	PRJNA60143	60143	Fungi	Ascomycetes	12.4385	38.2	GCA_000192555.1	-	-	-	AEWP01	583	-	-	2011/03/11	2011/03/18	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN02981312
Saccharomyces cerevisiae PW5	947039	PRJNA60181	60181	Fungi	Ascomycetes	11.8024	38.2	GCA_000209265.1	-	-	-	AFDC01	461	-	-	2011/04/25	2014/08/04	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN00199004
Saccharomyces cerevisiae UC5	947040	PRJNA60197	60197	Fungi	Ascomycetes	11.7165	38.2	GCA_000209285.1	-	-	-	AFDD01	506	-	-	2011/04/25	2014/08/04	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN00198987
Saccharomyces cerevisiae T73	471859	PRJNA60195	60195	Fungi	Ascomycetes	12.4352	38.3	GCA_000209305.1	-	-	-	AFDF01	2689	-	-	2011/04/25	2014/08/04	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN00198997
Saccharomyces cerevisiae CLIB382	947035	PRJNA60145	60145	Fungi	Ascomycetes	10.2559	38.4	GCA_000209345.1	-	-	-	AFDG01	10262	-	-	2011/04/25	2014/08/04	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN00198998
Saccharomyces cerevisiae T7	929585	PRJNA60387	60387	Fungi	Ascomycetes	11.7814	38.2	GCA_000209365.1	-	-	-	AFDE01	212	-	-	2011/04/25	2011/04/26	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN02981319
Saccharomyces cerevisiae EC9-8	1095001	PRJNA73985	73985	Fungi	Ascomycetes	12.2998	38.2	GCA_000234495.1	-	-	-	AGSJ01	96	-	-	2011/11/04	2011/11/07	Scaffold	Academia Sinica 	SAMN02981386
Saccharomyces cerevisiae M3707	1149757	PRJNA174688	174688	Fungi	Ascomycetes	11.5097	38.2	GCA_000365045.1	-	-	-	AMQB01	42	-	-	2013/04/15	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02769630
Saccharomyces cerevisiae M3836	1162671	PRJNA174689	174689	Fungi	Ascomycetes	11.5327	38.3	GCA_000365065.1	-	-	-	AMQC01	52	-	-	2013/04/15	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02769631
Saccharomyces cerevisiae M3837	1162672	PRJNA174690	174690	Fungi	Ascomycetes	11.5303	38.2	GCA_000365085.1	-	-	-	AMQD01	45	-	-	2013/04/15	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02769632
Saccharomyces cerevisiae M3838	1162673	PRJNA174691	174691	Fungi	Ascomycetes	11.5716	38.2	GCA_000365105.1	-	-	-	AMQE01	34	-	-	2013/04/15	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02769633
Saccharomyces cerevisiae M3839	1162674	PRJNA174692	174692	Fungi	Ascomycetes	11.5502	38.2	GCA_000365125.1	-	-	-	AMQF01	44	-	-	2013/04/15	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02769634
Saccharomyces cerevisiae YJM789	307796	PRJNA13304	13304	Fungi	Ascomycetes	11.991	38.3	GCA_000181435.1	-	-	-	AAFW02	258	5903	5902	2005/01/06	2007/08/03	Contig	Stanford University	SAMN02953615
Saccharomyces cerevisiae M22	538975	PRJNA28815	28815	Fungi	Ascomycetes	10.7768	38.8	GCA_000182075.1	-	-	-	ABPC01	6145	-	-	2008/06/16	2014/08/04	Contig	Washington University School of Medicine (WashU)	SAMN00189351
Saccharomyces cerevisiae YPS163	538976	PRJNA28813	28813	Fungi	Ascomycetes	10.7188	38.5	GCA_000182095.1	-	-	-	ABPD01	4725	-	-	2008/06/16	2014/08/04	Contig	Washington University School of Medicine (WashU)	SAMN00189350
Saccharomyces cerevisiae AWRI1631	545124	PRJNA30553	30553	Fungi	Ascomycetes	11.1769	38.2	GCA_000182175.1	-	-	-	ABSV01	2484	5590	5451	2008/09/30	2014/08/06	Contig	The Australian Wine Research Institute (AWRI), Australia	SAMN02953734
Saccharomyces cerevisiae JAY291	574961	PRJNA32809	32809	Fungi	Ascomycetes	11.5381	38.1	GCA_000182315.2	-	-	-	ACFL01	453	5665	5197	2009/08/20	2014/08/06	Contig	Duke University Medical Center	SAMN02953746
Saccharomyces cerevisiae ZTW1	1227742	PRJNA174065	174065	Fungi	Ascomycetes	11.4148	38.3	GCA_000308935.1	-	-	-	AMDD01	33	-	-	2012/10/31	2012/10/31	Contig	College of life science	SAMN02981455
Saccharomyces cerevisiae FostersO	764101	PRJNA48567	48567	Fungi	Ascomycetes	11.6849	38.2	GCA_000326005.1	-	-	-	AEEZ01	222	5215	3575	2011/02/11	2011/02/17	Contig	The Australian Wine Research Institute	SAMN02981272
Saccharomyces cerevisiae NY1308	1331972	PRJNA202086	202086	Fungi	Ascomycetes	11.5142	38.2	GCA_000416405.1	-	-	-	ASJZ01	35	-	-	2013/06/28	2013/06/28	Contig	Zhejiang University	SAMN02981536
Saccharomyces cerevisiae	4932	PRJNA13838	13838	Fungi	Ascomycetes	0.67254	35.8509	GCA_000091065.1	2	1	-	-	3	197	327	1992/03/16	2008/10/23	Gapless Chromosome	Sanger Institute	-
Aspergillus nidulans FGSC A4	227321	PRJNA130	130	Fungi	Ascomycetes	30.2427	50.3	GCA_000149205.1	-	-	-	AACD01	90	9545	9541	2003/04/07	2014/08/06	Scaffold	Broad Institute	SAMN02953587
Aspergillus nidulans FGSC A4	227321	PRJEA40559	40559	Fungi	Ascomycetes	29.8283	50.37	GCA_000011425.1	8	-	-	-	8	10597	10534	2009/09/24	2009/10/02	Chromosome with gaps	Eurofungbase (Eurofung)	-
Aspergillus fumigatus Af293	330879	PRJNA131	131	Fungi	Ascomycetes	29.385	49.8207	GCA_000002655.1	8	-	-	AAHF01	8	9916	9630	2005/06/01	2009/11/11	Chromosome	J. Craig Venter Institute	SAMN00115746
Aspergillus fumigatus A1163	451804	PRJNA18733	18733	Fungi	Ascomycetes	29.2054	49.5	GCA_000150145.1	-	-	-	ABDB01	55	10124	9929	2007/06/26	2014/08/04	Scaffold	J. Craig Venter Institute	SAMN00115744
Aspergillus fumigatus Af10	1035095	PRJNA46347	46347	Fungi	Ascomycetes	28.7591	49.5	GCA_000225625.2	-	-	-	AFXL01	1129	-	-	2011/09/09	2011/09/09	Contig	JCVI	SAMN02981356
Aspergillus fumigatus AF210	888744	PRJNA52783	52783	Fungi	Ascomycetes	28.9028	49.3	GCA_000225645.2	-	-	-	AFXM01	447	-	-	2011/09/09	2011/09/09	Contig	JCVI	SAMN02981357
Neurospora crassa OR74A	367110	PRJNA13841	13841	Fungi	Ascomycetes	39.2258	49.3	GCA_000182925.1	-	-	-	AABX02	251	10237	9841	2003/03/12	2014/08/06	Contig	Broad Institute	-
Phanerochaete chrysosporium RP-78	273507	PRJNA135	135	Fungi	Basidiomycetes	29.8426	57	GCA_000167175.1	-	-	-	AADS01	1323	-	-	2004/04/29	2014/08/06	Contig	DOE Joint Genome Institute	SAMN02953600
Candida albicans SC5314	237561	PRJNA10701	10701	Fungi	Ascomycetes	27.5589	33.4	GCA_000182965.2	-	-	-	AACQ01	413	14217	14217	2004/04/21	2014/08/06	Contig	Stanford University	SAMN02953594
Candida albicans WO-1	294748	PRJNA16373	16373	Fungi	Ascomycetes	14.473	33.6111	GCA_000149445.2	5	-	-	AAFO01	17	2983	2815	2006/03/28	2009/06/10	Chromosome	Broad Institute	SAMN02953609
Candida albicans A123	1182537	PRJNA165033	165033	Fungi	Ascomycetes	14.638	33.3	GCA_000447455.1	-	-	-	AVAR01	75	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974110
Candida albicans A92	1182536	PRJNA165031	165031	Fungi	Ascomycetes	14.6074	33.4	GCA_000447475.1	-	-	-	AVAS01	54	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974109
Candida albicans A203	1182540	PRJNA165039	165039	Fungi	Ascomycetes	14.7854	33.4	GCA_000447495.1	-	-	-	AVAT01	50	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974113
Candida albicans A67	1182535	PRJNA165029	165029	Fungi	Ascomycetes	14.6882	33.4	GCA_000447515.1	-	-	-	AVAU01	64	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974108
Candida albicans A48	1182534	PRJNA165027	165027	Fungi	Ascomycetes	14.7	33.3	GCA_000447535.1	-	-	-	AVAV01	87	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974107
Candida albicans CHN1	1182532	PRJNA165023	165023	Fungi	Ascomycetes	14.7275	33.3	GCA_000447555.1	-	-	-	AVAW01	84	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974105
Candida albicans A20	1182533	PRJNA165025	165025	Fungi	Ascomycetes	14.553	33.4	GCA_000447575.1	-	-	-	AVAX01	71	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974106
Candida albicans 3153A	1182531	PRJNA165021	165021	Fungi	Ascomycetes	14.89	33.3	GCA_000447595.1	-	-	-	AVAY01	100	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974104
Candida albicans A155	1182538	PRJNA165035	165035	Fungi	Ascomycetes	14.4651	33.4	GCA_000447615.1	-	-	-	AVAZ01	84	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974111
Candida albicans A84	1182539	PRJNA165037	165037	Fungi	Ascomycetes	14.6916	33.3	GCA_000447635.1	-	-	-	AVBA01	86	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974112
Leishmania major strain Friedlin	347515	PRJNA10724	10724	Protists	Kinetoplasts	32.8551	59.7114	GCA_000002725.2	36	-	-	-	36	9686	8316	1998/06/29	2012/06/05	Gapless Chromosome	Friedlin Consortium	-
Leishmania major strain SD 75.1	860570	PRJNA50303	50303	Protists	Kinetoplasts	31.2428	59.5	GCA_000250755.2	-	-	-	AFZI01	36	-	-	2012/02/28	2014/08/06	Scaffold	WUGSC	SAMN02953800
Leishmania major strain LV39c5	860569	PRJNA50301	50301	Protists	Kinetoplasts	32.3275	59.5	GCA_000331345.1	-	-	-	AODR01	849	-	-	2013/01/09	2014/08/04	Scaffold	WUGSC	SAMN01129976
Trypanosoma brucei brucei strain 927/4 GUTat10.1	999953	PRJNA11756	11756	Protists	Kinetoplasts	26.0755	46.3706	GCA_000002445.1	10	-	-	-	12	8177	7008	2002/10/07	2012/03/26	Chromosome	Trypanosoma brucei consortium	SAMN02953625
Trypanosoma brucei gambiense DAL972	679716	PRJEA40697	40697	Protists	Kinetoplasts	22.1481	47.1438	GCA_000210295.1	11	-	-	-	11	9962	9822	2009/10/14	2011/03/11	Chromosome with gaps	Wellcome Trust Sanger Institute	-
Trypanosoma cruzi	5693	PRJNA11755	11755	Protists	Kinetoplasts	89.9375	51.7	GCA_000209065.1	-	-	-	AAHK01	29495	25183	19607	2005/07/14	2014/08/06	Scaffold	Trypanosoma cruzi consortium	SAMN02953627
Trypanosoma cruzi strain Esmeraldo	366581	PRJNA50493	50493	Protists	Kinetoplasts	38.0811	50.9	GCA_000327425.1	-	-	-	ANOX01	15803	-	-	2012/12/20	2014/08/04	Scaffold	WUGSC	SAMN00016463
Trypanosoma cruzi JR cl. 4	914063	PRJNA59941	59941	Protists	Kinetoplasts	41.4808	51.3	GCA_000331405.1	-	-	-	AODP01	15312	-	-	2013/01/09	2014/08/06	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN02953827
Trypanosoma cruzi Tula cl2	1206070	PRJNA169675	169675	Protists	Kinetoplasts	83.5112	51.4	GCA_000365225.1	-	-	-	AQHO01	45711	-	-	2013/04/15	2014/08/06	Scaffold	Kinetoplastid Genomes Consortium	SAMN02953848
Trypanosoma cruzi marinkellei	85056	PRJNA77843	77843	Protists	Kinetoplasts	34.2262	51	GCA_000300495.1	-	-	-	AHKC01	-	10127	10104	2012/10/01	2014/08/06	Contig	Karolinska Institutet	SAMN02953810
Trypanosoma cruzi	5693	PRJNA40815	40815	Protists	Kinetoplasts	38.5895	51.2	GCA_000188675.2	-	-	-	ADWP02	-	10876	10847	2011/02/09	2014/08/06	Contig	Karolinska Institutet	SAMN02953776
Giardia lamblia ATCC 50803	184922	PRJNA1439	1439	Protists	Other Protists	11.2136	49.2	GCA_000002435.1	-	-	-	AACB02	92	6583	6502	2003/03/26	2014/08/05	Scaffold	Marine Biological Laboratory	SAMN02952905
Giardia intestinalis ATCC 50581	598745	PRJNA33815	33815	Protists	Other Protists	11.0015	47.3	GCA_000182405.1	-	-	-	ACGJ01	2931	4562	4470	2009/07/13	2014/08/06	Contig	Karolinska Institutet	SAMN02953749
Giardia lamblia P15	658858	PRJNA39315	39315	Protists	Other Protists	11.5221	47.2	GCA_000182665.1	-	-	-	ACVC01	820	5159	5007	2010/10/05	2014/08/06	Contig	Karolinska Institutet, Department of Cell and molecular biology	SAMN02953764
Entamoeba histolytica HM-1:IMSS	294381	PRJNA142	142	Protists	Other Protists	20.8354	24.3	GCA_000208925.2	-	-	-	AAFB02	1529	8342	8163	2004/12/09	2014/08/06	Scaffold	J. Craig Venter Institute (TIGR)	SAMN02953605
Entamoeba histolytica KU27	885311	PRJNA51233	51233	Protists	Other Protists	15.2721	25.1	GCA_000338855.1	-	-	-	AOSC01	1796	7469	7455	2013/02/08	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953834
Entamoeba histolytica HM-1:IMSS-B	885319	PRJNA51239	51239	Protists	Other Protists	12.7819	26.9	GCA_000344925.1	-	-	-	APGH01	1938	6301	6301	2013/03/07	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953843
Entamoeba histolytica HM-3:IMSS	885315	PRJNA72935	72935	Protists	Other Protists	13.8307	25.1	GCA_000346345.1	-	-	-	APGI01	1880	7362	7358	2013/03/13	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953844
Entamoeba histolytica HM-1:IMSS-A	885318	PRJNA51237	51237	Protists	Other Protists	12.2923	25.2	GCA_000365475.1	-	-	-	APBR01	1685	6328	6327	2013/04/16	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953836
Eimeria tenella strain Houghton	413949	PRJNA364	364	Protists	Apicomplexans	1.38246	48.6761	GCA_000002835.1	1	1	-	-	2	283	244	2006/06/16	2013/04/04	Chromosome with gaps	Sanger Institute	-
Cryptosporidium parvum Iowa II	353152	PRJNA144	144	Protists	Apicomplexans	9.10232	30.2513	GCA_000165345.1	8	-	-	AAEE01	8	3887	3805	2004/04/05	2009/11/11	Chromosome	Univ. Minnesota	SAMN02952908
Cryptosporidium parvum	5807	PRJNA13873	13873	Protists	Apicomplexans	1.1647	31.1	GCA_000209695.1	1	-	-	-	1	473	473	2003/07/02	2009/06/30	Chromosome	MRC Laboratory of Molecular Biology, UK	-
Toxoplasma gondii ME49	508771	PRJNA28893	28893	Protists	Apicomplexans	62.9993	52.3	GCA_000006565.1	-	-	-	ABPA01	381	8155	7987	2008/05/20	2013/11/01	Scaffold	J. Craig Venter Institute	-
Toxoplasma gondii GT1	507601	PRJNA16727	16727	Protists	Apicomplexans	65.0622	52.3	GCA_000149715.2	-	-	-	AAQM03	1616	8593	8441	2006/05/05	2014/08/06	Scaffold	TIGR	SAMN02953654
Toxoplasma gondii TgCATBr9	943120	PRJNA61549	61549	Protists	Apicomplexans	61.8242	52.4	GCA_000224825.1	-	-	-	AFHV01	-	-	-	2011/05/17	2014/08/06	Contig	J. Craig Venter Institute	SAMN02953794
Toxoplasma gondii TgCATBr5	943121	PRJNA61551	61551	Protists	Apicomplexans	61.6362	52.4	GCA_000259835.1	-	-	-	AFPV01	-	-	-	2011/08/26	2014/08/06	Contig	J. Craig Venter Institute	SAMN02953796
Toxoplasma gondii CtCo5	1194599	PRJNA167493	167493	Protists	Apicomplexans	62.621	52.4	GCA_000278365.1	-	-	-	AKIR01	-	-	-	2012/07/17	2014/08/06	Contig	J. Craig Venter Institute	SAMN02953818
Toxoplasma gondii COUG	1074873	PRJNA71479	71479	Protists	Apicomplexans	63.6958	52.3	GCA_000338675.1	-	-	-	AGQR01	-	-	-	2013/02/07	2014/08/06	Contig	J. Craig Venter Institute	SAMN02953803
Toxoplasma gondii	5811	PRJNA71477	71477	Protists	Apicomplexans	63.0827	52.4	GCA_000250965.1	-	-	-	AGQS01	-	-	-	2012/03/01	2014/08/06	Contig	J. Craig Venter Institute	SAMN02953804
Toxoplasma gondii	5811	PRJNA61553	61553	Protists	Apicomplexans	63.0469	52.4	GCA_000256705.1	-	-	-	AHIV01	-	-	-	2012/03/27	2013/11/01	Contig	J. Craig Venter Institute	SAMN00736208
Toxoplasma gondii	5811	PRJNA80769	80769	Protists	Apicomplexans	62.9818	52.3	GCA_000256725.1	-	-	-	AHZP01	-	-	-	2012/03/27	2014/08/06	Contig	J. Craig Venter Institute	SAMN02953811
