#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Acinetobacter baumannii 4190	Bacteria	Proteobacteria	Gammaproteobacteria	p2ABST25	NZ_AEPA01000396.1	AEPA01000396	8.97	34.359	9	-	-	-	9	-
Acinetobacter baumannii AB0057	Bacteria	Proteobacteria	Gammaproteobacteria	pAB0057	NC_011585.1	CP001183	8.729	34.3797	11	-	-	-	11	-
Acinetobacter baumannii ACICU	Bacteria	Proteobacteria	Gammaproteobacteria	pACICU1	NC_010605.1	CP000864	28.279	37.8443	28	-	-	-	32	4
Acinetobacter baumannii ACICU	Bacteria	Proteobacteria	Gammaproteobacteria	pACICU2	NC_010606.1	CP000865	64.366	33.4012	64	-	-	-	64	-
Acinetobacter baumannii ATCC 17978	Bacteria	Proteobacteria	Gammaproteobacteria	pAB2	NC_009084.1	CP000523	11.302	35.1796	5	-	-	-	5	-
Acinetobacter baumannii ATCC 17978	Bacteria	Proteobacteria	Gammaproteobacteria	pAB1	NC_009083.1	CP000522	13.408	36.165	11	-	-	-	11	-
Acinetobacter baumannii AYE	Bacteria	Proteobacteria	Gammaproteobacteria	p4ABAYE	NC_010403.1	CU459139	2.726	37.6009	5	-	-	-	5	-
Acinetobacter baumannii AYE	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABAYE	NC_010401.1	CU459137	5.644	34.5145	7	-	-	-	7	-
Acinetobacter baumannii AYE	Bacteria	Proteobacteria	Gammaproteobacteria	p3ABAYE	NC_010404.1	CU459140	94.413	37.4842	82	-	-	-	107	25
Acinetobacter baumannii AYE	Bacteria	Proteobacteria	Gammaproteobacteria	p2ABAYE	NC_010402.1	CU459138	9.661	34.396	11	-	-	-	11	-
Acinetobacter baumannii BJAB07104	Bacteria	Proteobacteria	Gammaproteobacteria	p1BJAB07104	NC_021727.1	CP003887	70.17	33.8236	86	-	-	-	86	-
Acinetobacter baumannii BJAB07104	Bacteria	Proteobacteria	Gammaproteobacteria	p2BJAB07104	NC_021728.1	CP003907	20.139	47.0679	20	-	-	-	20	-
Acinetobacter baumannii BJAB0715	Bacteria	Proteobacteria	Gammaproteobacteria	pBJAB0715	NC_021734.1	CP003848	52.268	40.4263	60	-	-	-	60	-
Acinetobacter baumannii BJAB0868	Bacteria	Proteobacteria	Gammaproteobacteria	p1BJAB0868	NC_021730.1	CP003850	8.721	34.3424	10	-	-	-	10	-
Acinetobacter baumannii BJAB0868	Bacteria	Proteobacteria	Gammaproteobacteria	p2BJAB0868	NC_021731.1	CP003888	70.167	33.8279	86	-	-	-	86	-
Acinetobacter baumannii BJAB0868	Bacteria	Proteobacteria	Gammaproteobacteria	p3BJAB0868	NC_021732.1	CP003908	20.139	47.0927	20	-	-	-	20	-
Acinetobacter baumannii Canada BC-5	Bacteria	Proteobacteria	Gammaproteobacteria	pCanadaBC5-8.7	NZ_AFDN01000003.1	AFDN01000003	8.731	34.3718	9	-	-	-	9	-
Acinetobacter baumannii D1279779	Bacteria	Proteobacteria	Gammaproteobacteria	pD1279779	NC_020525.1	CP003968	7.416	32.5917	8	-	-	-	8	-
Acinetobacter baumannii IS-123	Bacteria	Proteobacteria	Gammaproteobacteria	pIS123-18	NZ_ALII01000019.1	ALII01000019	17.984	34.2026	21	-	-	-	21	-
Acinetobacter baumannii IS-123	Bacteria	Proteobacteria	Gammaproteobacteria	pIS123-67	NZ_ALII01000020.1	ALII01000020	67.025	33.3831	97	-	-	-	97	-
Acinetobacter baumannii IS-123	Bacteria	Proteobacteria	Gammaproteobacteria	pIS123-12	NZ_ALII01000018.1	ALII01000018	11.6	37.0431	16	-	-	-	16	-
Acinetobacter baumannii MDR-TJ	Bacteria	Proteobacteria	Gammaproteobacteria	pABTJ2	NC_020524.1	CP004359	110.967	41.6142	125	-	1	-	126	-
Acinetobacter baumannii MDR-TJ	Bacteria	Proteobacteria	Gammaproteobacteria	pABTJ1	NC_017848.1	CP003501	77.528	34.0458	107	-	-	-	108	-
Acinetobacter baumannii MDR-ZJ06	Bacteria	Proteobacteria	Gammaproteobacteria	pMDR-ZJ06	NC_017172.1	CP001938	20.301	47.3868	25	-	-	-	25	-
Acinetobacter baumannii Naval-17	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval17-13	NZ_AFDO01000021.1	AFDO01000021	12.636	37.1478	13	-	-	-	13	-
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-7.0	NZ_AFDA02000011.1	AFDA02000011	7.032	35.4522	8	-	-	-	8	-
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-8.4	NZ_AFDA02000008.1	AFDA02000008	8.422	36.7846	8	-	-	-	8	-
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-5.7	NZ_AFDA02000010.1	AFDA02000010	5.676	36.117	8	-	-	-	8	-
Acinetobacter baumannii Naval-18	Bacteria	Proteobacteria	Gammaproteobacteria	pNaval18-6.1	NZ_AFDA02000006.1	AFDA02000006	6.078	39.2563	5	-	-	-	5	-
